trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
166,2025-06-18T13:45:00-04:00,OKLO,SELL,SELL,1271,61.7,1.0,-661.919999999995,-0.8369980660731713
167,2025-06-18T14:45:00-04:00,OKLO,BUY,BUY,1274,61.62,1.0,,
168,2025-06-18T14:50:00-04:00,OKLO,SELL,SELL,1274,60.8,1.0,-1045.6800000000003,-1.3319936289310936
169,2025-06-18T15:20:00-04:00,OKLO,BUY,BUY,1266,61.18,1.0,,
170,2025-06-18T15:25:00-04:00,OKLO,SELL,SELL,1266,61.05,1.0,-165.58000000000322,-0.21377607195312062
171,2025-06-18T15:30:00-04:00,OKLO,BUY,BUY,1266,61.09,1.0,,
172,2025-06-20T10:15:00-04:00,OKLO,SELL,SELL,1266,61.33,1.0,302.83999999999355,0.39156493313889584
173,2025-06-20T11:30:00-04:00,OKLO,BUY,BUY,1256,61.77,1.0,,
174,2025-06-20T12:45:00-04:00,OKLO,SELL,SELL,1256,61.58,1.0,-239.64000000000607,-0.3088776414555015
175,2025-06-20T14:25:00-04:00,OKLO,BUY,BUY,1292,59.9,1.0,,
176,2025-06-20T14:40:00-04:00,OKLO,SELL,SELL,1292,59.66,1.0,-311.08000000000254,-0.4019547290539857
177,2025-06-20T14:45:00-04:00,OKLO,BUY,BUY,1291,59.69,1.0,,
178,2025-06-20T14:50:00-04:00,OKLO,SELL,SELL,1291,59.62,1.0,-91.37000000000037,-0.11856872995981534
179,2025-06-23T13:15:00-04:00,OKLO,BUY,BUY,1442,53.39,1.0,,
180,2025-06-23T14:45:00-04:00,OKLO,SELL,SELL,1442,53.69,1.0,431.59999999999593,0.5605967991948967
181,2025-06-23T15:05:00-04:00,OKLO,BUY,BUY,1414,54.75,1.0,,
182,2025-06-24T10:55:00-04:00,OKLO,SELL,SELL,1414,58.25,1.0,4948.0,6.391319792036684
183,2025-06-24T11:30:00-04:00,OKLO,BUY,BUY,1381,59.46,1.0,,
184,2025-06-24T13:00:00-04:00,OKLO,SELL,SELL,1381,60.14,1.0,938.0799999999996,1.1423942395116324
185,2025-06-24T15:00:00-04:00,OKLO,BUY,BUY,1386,59.89,1.0,,
186,2025-06-25T09:55:00-04:00,OKLO,SELL,SELL,1386,60.47,1.0,802.8799999999976,0.967225781829192
187,2025-06-25T11:05:00-04:00,OKLO,BUY,BUY,1392,60.16,1.0,,
188,2025-06-25T11:15:00-04:00,OKLO,SELL,SELL,1392,59.55,1.0,-850.1199999999992,-1.015144777423309
189,2025-06-25T13:00:00-04:00,OKLO,BUY,BUY,1418,58.48,1.0,,
190,2025-06-25T13:30:00-04:00,OKLO,SELL,SELL,1418,58.19,1.0,-412.2199999999988,-0.49709595247018745
191,2025-06-26T09:30:00-04:00,OKLO,BUY,BUY,1470,56.18,1.0,,
192,2025-06-26T10:00:00-04:00,OKLO,SELL,SELL,1470,55.86,1.0,-471.40000000000043,-0.5708016893986365
193,2025-06-26T10:15:00-04:00,OKLO,BUY,BUY,1462,56.18,1.0,,
194,2025-06-26T10:40:00-04:00,OKLO,SELL,SELL,1462,56.2,1.0,28.24000000000457,0.034381933608783964
195,2025-06-26T10:45:00-04:00,OKLO,BUY,BUY,1459,56.29,1.0,,
196,2025-06-26T10:50:00-04:00,OKLO,SELL,SELL,1459,56.07,1.0,-321.9799999999983,-0.3920460363692752
197,2025-06-26T10:55:00-04:00,OKLO,BUY,BUY,1450,56.45,1.0,,
198,2025-06-26T11:00:00-04:00,OKLO,SELL,SELL,1450,56.14,1.0,-450.5000000000033,-0.5503735332026161
199,2025-06-26T11:15:00-04:00,OKLO,BUY,BUY,1443,56.41,1.0,,
200,2025-06-26T11:20:00-04:00,OKLO,SELL,SELL,1443,56.2,1.0,-304.029999999991,-0.37349833778926655
201,2025-06-26T11:40:00-04:00,OKLO,BUY,BUY,1435,56.52,1.0,,
202,2025-06-26T12:35:00-04:00,OKLO,SELL,SELL,1435,56.17,1.0,-503.25000000000205,-0.6204751242799676
203,2025-06-26T14:05:00-04:00,OKLO,BUY,BUY,1435,56.17,1.0,,
204,2025-06-26T14:10:00-04:00,OKLO,SELL,SELL,1435,55.97,1.0,-288.0000000000041,-0.35729815600655307
